t_sec      qx           qy           qz           qw
103.750  -0.891989199  -0.061901146   0.172718428   0.413148716
104.000  -0.892015401  -0.062005080   0.172869312   0.413013432
104.250  -0.892041442  -0.062108930   0.173020079   0.412878431
104.500  -0.892067322  -0.062212696   0.173170728   0.412743713
104.750  -0.892093040  -0.062316378   0.173321260   0.412609279
105.000  -0.892118598  -0.062419977   0.173471675   0.412475128
105.250  -0.892143995  -0.062523491   0.173621972   0.412341261
105.500  -0.892169232  -0.062626921   0.173772153   0.412207677
105.750  -0.892194309  -0.062730267   0.173922217   0.412074376
106.000  -0.892219225  -0.062833529   0.174072164   0.411941360
106.250  -0.892243981  -0.062936708   0.174221994   0.411808627
106.500  -0.892268578  -0.063039802   0.174371708   0.411676178
106.750  -0.892293015  -0.063142812   0.174521306   0.411544013
107.000  -0.892317292  -0.063245738   0.174670787   0.411412133
107.250  -0.892341410  -0.063348581   0.174820152   0.411280536
107.500  -0.892365369  -0.063451339   0.174969401   0.411149224
107.750  -0.892389169  -0.063554013   0.175118534   0.411018196
108.000  -0.892412810  -0.063656604   0.175267552   0.410887452
108.250  -0.892436293  -0.063759110   0.175416453   0.410756993
108.500  -0.892459616  -0.063861533   0.175565240   0.410626819
108.750  -0.892482782  -0.063963871   0.175713910   0.410496929
109.000  -0.892505789  -0.064066126   0.175862466   0.410367324
109.250  -0.892528639  -0.064168296   0.176010906   0.410238003
109.500  -0.892551330  -0.064270383   0.176159231   0.410108968
109.750  -0.892573864  -0.064372386   0.176307442   0.409980218
110.000  -0.892596241  -0.064474305   0.176455537   0.409851752
110.250  -0.892618460  -0.064576139   0.176603518   0.409723572
110.500  -0.892640521  -0.064677890   0.176751384   0.409595677
110.750  -0.892662426  -0.064779557   0.176899135   0.409468067
111.000  -0.892684174  -0.064881140   0.177046773   0.409340743
111.250  -0.892705765  -0.064982639   0.177194296   0.409213704
111.500  -0.892727200  -0.065084054   0.177341704   0.409086950
111.750  -0.892748478  -0.065185386   0.177488999   0.408960483
